Similarity-based	similarity-based
After	after
that	that
	
the	the
disambiguation	disambiguation
results	results
tend	tend
not	not
to	to
change	change
significantly	significantly
although	although
the	the
similarity	similarity
	
values	values
may	may
continue	continue
to	to
increase	increase
Intuitively	intuitively
the	the
transitive	transitive
exploration	exploration
of	of
similarities	similarities
	
is	is
exhausted	exhausted
after	after
three	three
iterations	iterations
	
A	a
2	2
Proofs	proofs
	
In	in
the	the
following	following
X	x
3	3
;	;
can	can
be	be
either	either
words	words
or	or
sentences	sentences
	
Theorem	theorem
1	1
	
Similarity	similarity
is	is
bounded	bounded
:	:
simn	simn
(	(
X	x
3	3
;	;
)	)
_	_
<	<
1	1
	
Proof	proof
	
By	by
induction	induction
on	on
the	the
number	number
of	of
iteration	iteration
At	at
the	the
first	first
iteration	iteration
sim0	sim0
(	(
X	x
3	3
;	;
)	)
_	_
<	<
1	1
by	by
	
initialization	initialization
Assume	assume
that	that
the	the
claim	claim
holds	holds
for	for
n	n
and	and
prove	prove
for	for
n	n
+	+
1	1
:	:
	
simn	simn
+l	+l
(	(
X	x
Y	y
)	)
=	=
E	e
weight	weight
(	(
K	k
X	x
)	)
maxsimn	maxsimn
(	(
Xj	xj
Yk	yk
)	)
	
~CX	~cx
YkEY	ykey
	
<	<
~	~
weight	weight
(	(
~	~
X	x
)	)
â	â
€	€
¢	¢
1	1
(	(
by	by
the	the
induction	induction
hypothesis	hypothesis
)	)
	
--	--
1	1
	
55	55
	
Computational	computational
Linguistics	linguistics
Volume	volume
24	24
Number	number
1	1
	
Theorem	theorem
2	2
	
Similarity	similarity
is	is
reflexive	reflexive
:	:
VX	vx
sim	sim
(	(
X	x
X	x
)	)
=	=
1	1
	
Proof	proof
	
By	by
induction	induction
on	on
the	the
number	number
of	of
iteration	iteration
sim0	sim0
(	(
X	x
X	x
)	)
=	=
1	1
by	by
initialization	initialization
Assume	assume
	
that	that
the	the
claim	claim
holds	holds
for	for
n	n
and	and
prove	prove
for	for
n	n
+	+
1	1
:	:
	
Simn	simn
+l	+l
(	(
X	x
X	x
)	)
=	=
E	e
weight	weight
(	(
~	~
X	x
)	)
max	max
simn	simn
(	(
Xi	xi
,	,
~	~
)	)
	
x	x
~cx	~cx
~cx	~cx
	
>	>
-	-
E	e
weight	weight
(	(
X	x
/	/
X	x
)	)
simn	simn
(	(
Xi	xi
Xi	xi
)	)
	
XiE	xie
X	x
	
=	=
~	~
weight	weight
(	(
Xi	xi
X	x
)	)
â	â
€	€
¢	¢
1	1
(	(
by	by
the	the
induction	induction
hypothesis	hypothesis
)	)
	
XiEX	xiex
	
=	=
1	1
	
Thus	thus
simn	simn
+l	+l
(	(
V	v
X	x
)	)
_	_
>	>
1	1
By	by
theorem	theorem
1	1
simn	simn
+l	+l
(	(
X	x
X	x
)	)
_	_
<	<
1	1
so	so
simn	simn
+l	+l
(	(
X	x
X	x
)	)
=	=
1	1
	
Theorem	theorem
3	3
	
Similarity	similarity
sim	sim
(	(
X	x
3	3
;	;
)	)
is	is
a	a
nondecreasing	nondecreasing
function	function
of	of
the	the
number	number
of	of
iteration	iteration
n	n
	
Proof	proof
	
By	by
induction	induction
on	on
the	the
number	number
of	of
iteration	iteration
Consider	consider
the	the
case	case
of	of
n	n
=	=
1	1
:	:
siml	siml
(	(
X	x
Y	y
)	)
>	>
	
sim0	sim0
(	(
X	x
3	3
;	;
)	)
(	(
if	if
sim0	sim0
(	(
X	x
y	y
)	)
=	=
1	1
then	then
X	x
=	=
3	3
;	;
and	and
siml	siml
(	(
X	x
3	3
;	;
)	)
=	=
1	1
as	as
well	well
;	;
else	else
	
sim0	sim0
(	(
X	x
3	3
;	;
)	)
=	=
0	0
and	and
siml	siml
(	(
X	x
3	3
;	;
)	)
>	>
_	_
0	0
~-	~-
sim0	sim0
(	(
X	x
3	3
;	;
)	)
)	)
Now	now
assume	assume
that	that
the	the
claim	claim
	
holds	holds
for	for
n	n
and	and
prove	prove
for	for
n	n
+	+
1	1
:	:
	
simn	simn
+l	+l
(	(
X	x
Y	y
)	)
-	-
siren	siren
(	(
X	x
Y	y
)	)
=	=
	
=	=
~	~
weight	weight
(	(
K	k
X	x
)	)
maxsim	maxsim
(	(
Xj	xj
Yk	yk
)	)
	
X	x
/	/
~X	~x
YkEY	ykey
	
-	-
E	e
weight	weight
(	(
Xj	xj
A'	a'
)	)
maxsim	maxsim
_l	_l
(	(
Xj	xj
Yt	yt
)	)
	
x	x
/ex	/ex
NkEY	nkey
	
>	>
~	~
weight	weight
(	(
Xj	xj
X	x
)	)
(	(
maxsimn	maxsimn
(	(
Xi	xi
Yk	yk
)	)
-	-
maxsim	maxsim
~_l	~_l
(	(
~	~
Yk	yk
)	)
)	)
	
~cx	~cx
\YkEY	\ykey
YkEY	ykey
	
>	>
0	0
	
The	the
last	last
inequality	inequality
holds	holds
because	because
by	by
the	the
induction	induction
hypothesis	hypothesis
	
V	v
~	~
Yk	yk
simn	simn
(	(
~	~
Yk	yk
)	)
_	_
>	>
simn_l	simn_l
(	(
Xj	xj
Yk	yk
)	)
	
maxsimn	maxsimn
(	(
Xj	xj
Yk	yk
)	)
>	>
_	_
maxsim	maxsim
_l	_l
(	(
Xj	xj
Yk	yk
)	)
	
YkEY	ykey
YkEY	ykey
	
maxsimn	maxsimn
(	(
Xj	xj
Yk	yk
)	)
-	-
maxsimn_l	maxsimn_l
(	(
Xj	xj
Yk	yk
)	)
_	_
>	>
0	0
	
Yk	yk
~Y	~y
Y	y
~EY	~ey
	
Thus	thus
all	all
the	the
items	items
under	under
the	the
sum	sum
are	are
nonnegative	nonnegative
and	and
so	so
must	must
be	be
their	their
weighted	weighted
	
average	average
As	as
a	a
consequence	consequence
we	we
may	may
conclude	conclude
that	that
the	the
iterative	iterative
estimation	estimation
of	of
similarity	similarity
	
converges	converges
	
56	56
	
Karov	karov
and	and
Edelman	edelman
Similarity-based	similarity-based
Word	word
Sense	sense
Disambiguation	disambiguation
	
A	a
3	3
Word	word
weights	weights
	
In	in
our	our
algorithm	algorithm
the	the
weight	weight
of	of
a	a
word	word
estimates	estimates
its	its
expected	expected
contribution	contribution
to	to
the	the
disambiguation	disambiguation
	
task	task
and	and
the	the
extent	extent
to	to
which	which
the	the
word	word
is	is
indicative	indicative
in	in
sentence	sentence
similarity	similarity
	
The	the
weights	weights
do	do
not	not
change	change
with	with
iterations	iterations
They	they
are	are
used	used
to	to
reduce	reduce
the	the
number	number
of	of
	
features	features
to	to
a	a
manageable	manageable
size	size
and	and
to	to
exclude	exclude
words	words
that	that
are	are
expected	expected
to	to
be	be
given	given
	
unreliable	unreliable
similarity	similarity
values	values
The	the
weight	weight
of	of
a	a
word	word
is	is
a	a
product	product
of	of
several	several
factors	factors
:	:
frequency	frequency
	
in	in
the	the
corpus	corpus
the	the
bias	bias
inherent	inherent
in	in
the	the
training	training
set	set
distance	distance
from	from
the	the
target	target
	
word	word
and	and
part-of-speech	part-of-speech
label	label
:	:
	
	
	
Global	global
frequency	frequency
Frequent	frequent
words	words
are	are
less	less
informative	informative
of	of
sense	sense
and	and
of	of
	
sentence	sentence
similarity	similarity
For	for
example	example
the	the
appearance	appearance
of	of
year	year
a	a
frequent	frequent
word	word
	
in	in
two	two
different	different
sentences	sentences
in	in
the	the
corpus	corpus
we	we
employed	employed
would	would
not	not
	
necessarily	necessarily
indicate	indicate
similarity	similarity
between	between
them	them
and	and
would	would
not	not
be	be
effective	effective
	
in	in
disambiguating	disambiguating
the	the
sense	sense
of	of
most	most
target	target
words	words
)	)
The	the
contribution	contribution
of	of
	
freq	freq
(	(
W	w
)	)
frequency	frequency
is	is
max	max
{0	{0
1	1
max5xfreq	max5xfreq
(	(
X	x
)	)
J'	j'
where	where
max5xfreq	max5xfreq
(	(
X	x
)	)
is	is
a	a
function	function
	
of	of
the	the
five	five
highest	highest
frequencies	frequencies
in	in
the	the
global	global
corpus	corpus
and	and
X	x
is	is
any	any
noun	noun
	
or	or
verb	verb
or	or
adjective	adjective
there	there
This	this
factor	factor
excludes	excludes
only	only
the	the
most	most
frequent	frequent
	
words	words
from	from
further	further
consideration	consideration
As	as
long	long
as	as
the	the
frequencies	frequencies
are	are
not	not
	
very	very
high	high
it	it
does	does
not	not
label	label
14	14
;1	;1
whose	whose
frequency	frequency
is	is
twice	twice
that	that
of	of
W2	w2
as	as
	
less	less
informative	informative
	
Log-likelihood	log-likelihood
factor	factor
Words	words
that	that
are	are
indicative	indicative
of	of
the	the
sense	sense
usually	usually
appear	appear
	
in	in
the	the
training	training
set	set
more	more
than	than
what	what
would	would
have	have
been	been
expected	expected
from	from
their	their
	
frequency	frequency
in	in
the	the
general	general
corpus	corpus
The	the
log-likelihood	log-likelihood
factor	factor
captures	captures
this	this
	
tendency	tendency
It	it
is	is
computed	computed
as	as
	
	
	
Pr	pr
(	(
Wi	wi
114	114
;	;
)	)
(	(
10	10
)	)
	
log	log
Pr	pr
(	(
Wi	wi
)	)
	
where	where
Pr	pr
(	(
14	14
;i	;i
)	)
is	is
estimated	estimated
from	from
the	the
frequency	frequency
of	of
14	14
;	;
in	in
the	the
entire	entire
corpus	corpus
	
and	and
Pr	pr
(	(
Wi	wi
I	i
14	14
;	;
)	)
from	from
the	the
frequency	frequency
of	of
Wi	wi
in	in
the	the
training	training
set	set
given	given
the	the
	
examples	examples
of	of
the	the
current	current
ambiguous	ambiguous
word	word
W	w
(	(
cf	cf
Gale	gale
Church	church
and	and
	
Yarowsky	yarowsky
[1992	[1992
]	]
)	)
8	8
To	to
avoid	avoid
poor	poor
estimation	estimation
for	for
words	words
with	with
a	a
low	low
count	count
	
in	in
the	the
training	training
set	set
We	we
multiply	multiply
the	the
log	log
likelihood	likelihood
by	by
min	min
{1	{1
~o	~o
~nt	~nt
(	(
w	w
)	)
10	10
}	}
	
where	where
count	count
(	(
W	w
)	)
is	is
the	the
number	number
of	of
occurrences	occurrences
of	of
14	14
;	;
in	in
the	the
training	training
set	set
	
Part	part
of	of
speech	speech
Each	each
part	part
of	of
speech	speech
is	is
assigned	assigned
a	a
weight	weight
(	(
1	1
0	0
for	for
nouns	nouns
0	0
6	6
	
for	for
verbs	verbs
and	and
1	1
0	0
for	for
the	the
adjectives	adjectives
of	of
the	the
target	target
word	word
)	)
	
Distance	distance
from	from
the	the
target	target
word	word
Context	context
words	words
that	that
are	are
far	far
from	from
the	the
target	target
	
word	word
are	are
less	less
indicative	indicative
than	than
nearby	nearby
ones	ones
The	the
contribution	contribution
of	of
this	this
factor	factor
	
is	is
reciprocally	reciprocally
related	related
to	to
the	the
normalized	normalized
distance	distance
:	:
the	the
weight	weight
of	of
context	context
	
words	words
that	that
appear	appear
in	in
the	the
same	same
sentence	sentence
as	as
the	the
target	target
word	word
is	is
taken	taken
to	to
	
be	be
1	1
0	0
;	;
the	the
weight	weight
of	of
words	words
that	that
appear	appear
in	in
the	the
adjacent	adjacent
sentences	sentences
is	is
0	0
5	5
	
The	the
total	total
weight	weight
of	of
a	a
word	word
is	is
the	the
product	product
of	of
the	the
above	above
factors	factors
each	each
normalized	normalized
by	by
	
factor	factor
(	(
Wi	wi
S	s
)	)
the	the
sum	sum
of	of
factors	factors
of	of
the	the
words	words
in	in
the	the
sentence	sentence
:	:
weight	weight
(	(
Wi	wi
$	$
)	)
=	=
z_	z_
~'wjcs	~'wjcs
factor	factor
(	(
W	w
j	j
S	s
)	)
'	'
	
8	8
Because	because
this	this
estimate	estimate
is	is
unreliable	unreliable
for	for
words	words
with	with
low	low
frequencies	frequencies
in	in
each	each
sense	sense
set	set
Gale	gale
Church	church
and	and
	
Yarowsky	yarowsky
(	(
1992	1992
)	)
suggested	suggested
to	to
interpolate	interpolate
between	between
probabilities	probabilities
computed	computed
within	within
the	the
subcorpus	subcorpus
and	and
	
probabilities	probabilities
computed	computed
over	over
the	the
entire	entire
corpus	corpus
In	in
our	our
case	case
the	the
denominator	denominator
is	is
the	the
frequency	frequency
in	in
the	the
	
general	general
corpus	corpus
instead	instead
of	of
the	the
frequency	frequency
in	in
the	the
sense	sense
examples	examples
so	so
it	it
is	is
more	more
reliable	reliable
	
57	57
	
Computational	computational
Linguistics	linguistics
Volume	volume
24	24
Number	number
1	1
	
where	where
factor	factor
(	(
)	)
is	is
the	the
weight	weight
before	before
normalization	normalization
The	the
use	use
of	of
weights	weights
contributed	contributed
	
about	about
5	5
%	%
to	to
the	the
disambiguation	disambiguation
performance	performance
	
A	a
4	4
Other	other
uses	uses
of	of
context	context
similarity	similarity
	
The	the
similarity	similarity
measure	measure
developed	developed
in	in
the	the
present	present
paper	paper
can	can
be	be
used	used
for	for
tasks	tasks
other	other
than	than
	
word	word
sense	sense
disambiguation	disambiguation
Here	here
we	we
illustrate	illustrate
a	a
possible	possible
application	application
to	to
automatic	automatic
	
construction	construction
of	of
a	a
thesaurus	thesaurus
	
Following	following
the	the
training	training
phase	phase
for	for
a	a
word	word
X	x
we	we
have	have
a	a
word	word
similarity	similarity
matrix	matrix
for	for
	
the	the
words	words
in	in
the	the
contexts	contexts
of	of
:Y	:y
Using	using
this	this
matrix	matrix
we	we
construct	construct
for	for
each	each
sense	sense
si	si
of	of
-Y	-y
	
a	a
set	set
of	of
related	related
words	words
R	r
:	:
	
Â	Â
°	°
	
2	2
	
	
Initialize	initialize
R	r
to	to
the	the
set	set
of	of
words	words
appearing	appearing
in	in
the	the
MRD	mrd
definition	definition
of	of
si	si
;	;
	
Extend	extend
R	r
recursively	recursively
:	:
for	for
each	each
word	word
in	in
R	r
added	added
in	in
the	the
previous	previous
step	step
add	add
	
its	its
k	k
nearest	nearest
neighbors	neighbors
using	using
the	the
similarity	similarity
matrix	matrix
	
Stop	stop
when	when
no	no
new	new
words	words
(	(
or	or
too	too
few	few
new	new
words	words
)	)
are	are
added	added
	
Upon	upon
termination	termination
output	output
for	for
each	each
sense	sense
si	si
the	the
set	set
of	of
its	its
contextually	contextually
similar	similar
words	words
R	r
	
Acknowledgments	acknowledgments
	
We	we
thank	thank
Dan	dan
Roth	roth
for	for
many	many
useful	useful
	
discussions	discussions
and	and
the	the
anonymous	anonymous
reviewers	reviewers
	
for	for
constructive	constructive
comments	comments
on	on
the	the
	
manuscript	manuscript
This	this
work	work
was	was
first	first
presented	presented
	
at	at
the	the
4th	4th
International	international
Workshop	workshop
on	on
Large	large
	
Corpora	corpora
Copenhagen	copenhagen
August	august
1996	1996
	
References	references
	
Brill	brill
Eric	eric
David	david
Magerman	magerman
Mitchell	mitchell
P	p
	
Marcus	marcus
and	and
Beatrice	beatrice
Santorini	santorini
1990	1990
	
Deducing	deducing
linguistic	linguistic
structure	structure
from	from
the	the
	
statistics	statistics
of	of
large	large
corpora	corpora
In	in
DARPA	darpa
	
Speech	speech
and	and
Natural	natural
Language	language
Workshop	workshop
	
pages	pages
275-282	275-282
June	june
	
Brown	brown
Peter	peter
F	f
 Stephen	 stephen
Della	della
Pietra	pietra
	
Vincent	vincent
J	j
Della	della
Pietra	pietra
and	and
Robert	robert
L	l
	
Mercer	mercer
1991	1991
Word	word
sense	sense
disambiguation	disambiguation
	
using	using
statistical	statistical
methods	methods
In	in
Proceedings	proceedings
of	of
	
the	the
29th	29th
Annual	annual
Meeting	meeting
pages	pages
264-270	264-270
	
Association	association
for	for
Computational	computational
	
Linguistics	linguistics
	
Church	church
Kenneth	kenneth
W	w
and	and
Robert	robert
L	l
Mercer	mercer
	
1993	1993
Introduction	introduction
to	to
the	the
special	special
issue	issue
on	on
	
computational	computational
linguistics	linguistics
using	using
large	large
	
corpora	corpora
Computational	computational
Linguistics	linguistics
19	19
:1-24	:1-24
	
Cruse	cruse
D	d
Alan	alan
1986	1986
Lexical	lexical
Semantics	semantics
	
Cambridge	cambridge
University	university
Press	press
Cambridge	cambridge
	
England	england
	
Dagan	dagan
Ido	ido
Alon	alon
Itai	itai
and	and
Ulrike	ulrike
Schwall	schwall
	
1991	1991
Two	two
languages	languages
are	are
more	more
informative	informative
	
than	than
one	one
In	in
Proceedings	proceedings
of	of
the	the
29th	29th
Annual	annual
	
Meeting	meeting
pages	pages
130-137	130-137
Association	association
for	for
	
Computational	computational
Linguistics	linguistics
	
Dagan	dagan
Ido	ido
Shaul	shaul
Marcus	marcus
and	and
Shaul	shaul
	
Markovitch	markovitch
1993	1993
Contextual	contextual
word	word
	
similarity	similarity
and	and
estimation	estimation
from	from
sparse	sparse
	
data	data
In	in
Proceedings	proceedings
of	of
the	the
31st	31st
Annual	annual
	
Meeting	meeting
pages	pages
164-174	164-174
Association	association
for	for
	
Computational	computational
Linguistics	linguistics
	
Gale	gale
William	william
Kenneth	kenneth
W	w
Church	church
and	and
	
David	david
Yarowsky	yarowsky
1992	1992
A	a
method	method
for	for
	
disambiguating	disambiguating
word	word
senses	senses
in	in
a	a
large	large
	
corpus	corpus
Computers	computers
and	and
the	the
Humanities	humanities
	
26	26
:415-439	:415-439
	
Guthrie	guthrie
Joe	joe
A	a
 Louise	 louise
Guthrie	guthrie
Yorick	yorick
	
Wilks	wilks
and	and
Homa	homa
Aidinejad	aidinejad
1991	1991
-	-
	
Subject-dependent	subject-dependent
cooccurrence	cooccurrence
and	and
	
word	word
sense	sense
disambiguation	disambiguation
In	in
Proceedings	proceedings
	
of	of
the	the
29th	29th
Annual	annual
Meeting	meeting
pages	pages
146-152	146-152
	
Association	association
for	for
Computational	computational
	
Linguistics	linguistics
	
Hirschman	hirschman
Lynette	lynette
1986	1986
Discovering	discovering
	
sublanguage	sublanguage
structure	structure
In	in
Ralph	ralph
	
Grishman	grishman
and	and
Richard	richard
Kittredge	kittredge
editors	editors
	
Analyzing	analyzing
Language	language
in	in
Restricted	restricted
Domains	domains
:	:
	
Sublanguage	sublanguage
Description	description
and	and
Processing	processing
	
Lawrence	lawrence
Erlbaum	erlbaum
Hillsdale	hillsdale
NJ	nj
pages	pages
	
211-234	211-234
	
Krovetz	krovetz
Robert	robert
and	and
W	w
Bruce	bruce
Croft	croft
1989	1989
	
Word	word
sense	sense
disambiguation	disambiguation
using	using
	
machine	machine
readable	readable
dictionaries	dictionaries
In	in
	
Proceedings	proceedings
of	of
ACM	acm
SIGIR'89	sigir'89
pages	pages
	
127-136	127-136
	
Lee	lee
Joon	joon
H	h
 Myoung	 myoung
H	h
Kim	kim
and	and
Yoon	yoon
J	j
	
Lee	lee
1993	1993
Information	information
retrieval	retrieval
based	based
on	on
	
conceptual	conceptual
distance	distance
in	in
IS-A	is-a
hierarchies	hierarchies
	
Journal	journal
of	of
Documentation	documentation
49	49
:188-207	:188-207
	
Lesk	lesk
Michael	michael
1986	1986
Automatic	automatic
sense	sense
	
disambiguation	disambiguation
:	:
How	how
to	to
tell	tell
a	a
pine	pine
cone	cone
	
from	from
an	an
ice	ice
cream	cream
cone	cone
In	in
Proceedings	proceedings
of	of
	
the	the
1986	1986
ACM	acm
SIGDOC	sigdoc
Conference	conference
pages	pages
	
24-26	24-26
	
58	58
	
Karov	karov
and	and
Edelman	edelman
Similarity-based	similarity-based
Word	word
Sense	sense
Disambiguation	disambiguation
	
Miller	miller
George	george
A	a
 Richard	 richard
Beckwith	beckwith
	
Christiane	christiane
Fellbaum	fellbaum
Derek	derek
Gross	gross
and	and
	
Katherine	katherine
J	j
Miller	miller
1993	1993
Introduction	introduction
to	to
	
WordNet	wordnet
:	:
An	an
on-line	on-line
lexical	lexical
database	database
	
CSL	csl
43	43
Cognitive	cognitive
Science	science
Laboratory	laboratory
	
Princeton	princeton
University	university
Princeton	princeton
NJ	nj
	
Pereira	pereira
Fernando	fernando
and	and
Naftali	naftali
Tishby	tishby
1992	1992
	
Distibutional	distibutional
similarity	similarity
phase	phase
transitions	transitions
	
and	and
hierarchical	hierarchical
clustering	clustering
In	in
Working	working
	
Notes	notes
of	of
the	the
AAAI	aaai
Fall	fall
Symposium	symposium
on	on
	
Probabilistic	probabilistic
Approaches	approaches
to	to
Natural	natural
Language	language
	
pages	pages
108-112	108-112
	
Pereira	pereira
Fernando	fernando
Naftali	naftali
Tishby	tishby
and	and
	
Lillian	lillian
Lee	lee
1993	1993
Distibutional	distibutional
clustering	clustering
	
of	of
English	english
words	words
In	in
Proceedings	proceedings
of	of
the	the
31st	31st
	
Annual	annual
Meeting	meeting
pages	pages
183-190	183-190
	
Association	association
for	for
Computational	computational
	
Linguistics	linguistics
	
Quine	quine
Willard	willard
V	v
O	o
1960	1960
Word	word
and	and
Object	object
	
MIT	mit
Press	press
Cambridge	cambridge
MA	ma
	
Resnik	resnik
Philip	philip
July	july
1992	1992
WordNet	wordnet
and	and
	
distribuitional	distribuitional
analysis	analysis
:	:
A	a
class-based	class-based
	
approach	approach
to	to
lexical	lexical
discovery	discovery
In	in
AAAI	aaai
	
Workshop	workshop
on	on
Statistically-based	statistically-based
Natural	natural
	
Language	language
Processing	processing
Techniques	techniques
pages	pages
	
56-64	56-64
	
Resnik	resnik
Philip	philip
June	june
1995	1995
Disambiguating	disambiguating
	
noun	noun
groupings	groupings
with	with
respect	respect
to	to
WordNet	wordnet
	
senses	senses
In	in
Third	third
Workshop	workshop
on	on
Very	very
Large	large
	
Corpora	corpora
pages	pages
55-68	55-68
Cambridge	cambridge
MA	ma
	
Schi	schi
~tze	~tze
Hinrich	hinrich
1992	1992
Dimensions	dimensions
of	of
	
meaning	meaning
In	in
Proceedings	proceedings
of	of
Supercomputing	supercomputing
	
Symposium	symposium
pages	pages
787-796	787-796
Minneapolis	minneapolis
	
MN	mn
	
V6ronis	v6ronis
Jean	jean
and	and
Nancy	nancy
Ide	ide
1990	1990
Word	word
	
sense	sense
disambiguation	disambiguation
with	with
very	very
large	large
	
neural	neural
networks	networks
extracted	extracted
from	from
machine	machine
	
readable	readable
dictionaries	dictionaries
In	in
Proceedings	proceedings
of	of
	
COLING-90	coling-90
pages	pages
389-394	389-394
	
Walker	walker
Donald	donald
E	e
and	and
Robert	robert
A	a
Amsler	amsler
	
1986	1986
The	the
use	use
of	of
machine-readable	machine-readable
	
dictionaries	dictionaries
in	in
sublanguage	sublanguage
analysis	analysis
In	in
	
R	r
Grisham	grisham
editor	editor
Analyzing	analyzing
Languages	languages
in	in
	
Restricted	restricted
Domains	domains
:	:
Sublanguage	sublanguage
Description	description
	
and	and
Processing	processing
Lawrence	lawrence
Erlbaum	erlbaum
	
Associates	associates
Hillsdale	hillsdale
NJ	nj
	
Weinreich	weinreich
Uriel	uriel
1980	1980
On	on
Semantics	semantics
	
University	university
of	of
Pennsylvania	pennsylvania
Press	press
	
Philadelphia	philadelphia
PA	pa
	
Yarowsky	yarowsky
David	david
1992	1992
Word	word
sense	sense
	
disambiguation	disambiguation
using	using
statistical	statistical
models	models
of	of
	
Roget's	roget's
categories	categories
trained	trained
on	on
large	large
	
corpora	corpora
In	in
Proceedings	proceedings
of	of
COLING-92	coling-92
	
pages	pages
454-460	454-460
Nantes	nantes
France	france
	
Yarowsky	yarowsky
David	david
1995	1995
Unsupervised	unsupervised
word	word
	
sense	sense
disambiguation	disambiguation
rivaling	rivaling
supervised	supervised
	
methods	methods
In	in
Proceedings	proceedings
of	of
the	the
33rd	33rd
Annual	annual
	
Meeting	meeting
pages	pages
189-196	189-196
Cambridge	cambridge
MA	ma
	
Association	association
for	for
Computational	computational
	
Linguistics	linguistics
	
59	59
	
	
